"platform","hospital","x","est","lo","hi"
"Versius","BE",183,179.201430945948,167.406714607796,192.57207491671
"Versius","BE",184,178.599933385871,166.889969628136,191.973709143632
"Versius","BE",185,177.990123244789,166.418497610503,191.586895176419
"Versius","BE",186,177.37259020602,165.878452429575,190.924470610327
"Versius","BE",187,176.747931623046,165.079297199282,190.178681372519
"Versius","BE",188,176.116749868673,164.232760437667,189.620231377906
"Versius","BE",189,175.479649650941,163.429421655131,189.233532914087
"Versius","BE",190,174.837235304712,162.469740194746,189.027155279705
"Versius","BE",191,174.190108067269,161.24250222787,188.916514583035
"Versius","BE",192,173.538863345732,159.966698597346,188.590006216486
"Versius","BE",193,172.884087983406,158.935105416479,188.498029508122
"Versius","BE",194,172.226357531545,157.754940194752,188.81596907637
"Versius","BE",195,171.56623353231,156.731941614178,189.008720512317
"Versius","BE",196,170.904260818024,155.33808520147,188.816799898384
"Versius","BE",197,170.240964831084,153.958954230809,189.141979102689
"Versius","BE",198,169.57684896825,152.305498026041,189.372087941721
"Versius","BE",199,168.912391952296,150.658227370802,189.638043382293
"Versius","BE",200,168.248045233415,149.338514555436,189.932978927583
"Versius","BE",201,167.584230422111,147.898405372305,190.698223232025
"Versius","BE",202,166.921336754757,146.346238341763,191.273221867687
"Versius","BE",203,166.259718592489,145.004418984625,191.740511638221
"Versius","BE",204,165.599692953639,143.524029374005,191.788405908821
"Versius","BE",205,164.941537079519,142.041448139131,192.050432144728
"Versius","BE",206,164.285486033057,140.568332277231,192.634673358197
"Versius","BE",207,163.631730329569,138.844785659762,193.180473208185
"Versius","BE",208,162.980413598788,137.303613712039,193.4823043591
"Versius","BE",209,162.331630277257,135.949337248845,193.63073258971
"da Vinci","SM",20,175.071008643685,151.481096475156,202.438868429737
"da Vinci","SM",21,172.763698173049,150.680293183277,198.121850731063
"da Vinci","SM",22,170.487607214815,149.812793436495,193.892359627509
"da Vinci","SM",23,168.243599957595,149.088465693964,189.544513428137
"da Vinci","SM",24,166.033053058707,148.336675647088,185.845065746336
"da Vinci","SM",25,163.857774403536,147.339663539165,182.358228286768
"da Vinci","SM",26,161.719927131211,146.319682988853,178.879268615333
"da Vinci","SM",27,159.621958995439,145.374936388579,175.511000546295
"da Vinci","SM",28,157.566537127263,144.104308182607,172.417291711525
"da Vinci","SM",29,155.556488247028,142.815391383262,169.397561354855
"da Vinci","SM",30,153.594744340191,141.399121648017,166.340292944526
"da Vinci","SM",31,151.684293769844,140.414055646708,164.266078886036
"da Vinci","SM",32,149.828137751371,139.253295415853,161.850147210674
"da Vinci","SM",33,148.029252064797,137.955979393324,159.531454850473
"da Vinci","SM",34,146.290553830656,136.485565243883,157.765765538299
"da Vinci","SM",35,144.61487312795,134.944444826908,155.531628534476
"da Vinci","SM",36,143.004929189702,133.63540758381,153.796645996991
"da Vinci","SM",37,141.463310874,132.178987631561,152.219210464491
"da Vinci","SM",38,139.992461077312,130.699763307873,150.71341447515
"da Vinci","SM",39,138.594664732597,129.171080137361,149.294827678626
"da Vinci","SM",40,137.272040017641,127.757021634302,147.715454599344
"da Vinci","SM",41,136.026532388975,126.521009305155,146.568146185255
"da Vinci","SM",42,134.859911053276,125.299514189328,145.48313896248
"da Vinci","SM",43,133.773767491022,124.332491366382,144.38507354187
"da Vinci","SM",44,132.769515655404,123.488124260497,143.311033942266
"da Vinci","SM",45,131.848393482741,122.46776786553,142.288582260835
"da Vinci","SM",46,131.011465367847,121.631696794645,141.420389776032
"da Vinci","SM",47,130.259625278421,120.917120353115,140.437222521936
"da Vinci","SM",48,129.593600205784,120.372556018923,139.644749731534
"da Vinci","SM",49,129.013953674494,119.909404769612,139.14422857924
"da Vinci","SM",50,128.521089060026,119.482152560053,138.492322031058
"da Vinci","SM",51,128.115252491275,119.100886217572,137.927088592237
"da Vinci","SM",52,127.796535142719,118.794985395261,137.546106552561
"da Vinci","SM",53,127.564874749411,118.556007586211,137.313505460038
"da Vinci","SM",54,127.420056206287,118.363716205832,137.016271449114
"da Vinci","SM",55,127.361711141512,118.335882672977,137.095413978569
"da Vinci","SM",56,127.389316381624,118.427390345025,136.934532809403
"da Vinci","SM",57,127.502191254114,118.567623779047,137.060869138004
"da Vinci","SM",58,127.699493700907,118.786313739198,137.295508254251
"da Vinci","SM",59,127.980215203942,119.204312198522,137.600689472239
"da Vinci","SM",60,128.343174551924,119.607867799202,138.086408556967
"da Vinci","SM",61,128.787010505423,119.94556545497,138.694477586599
"da Vinci","SM",62,129.310173445788,120.308584052884,139.464936301154
"da Vinci","SM",63,129.910916122095,120.710139259035,140.11041487448
"da Vinci","SM",64,130.587283639369,121.206541753107,140.837374202142
"da Vinci","SM",65,131.337102860637,121.935246138008,141.555888983233
"da Vinci","SM",66,132.157971424849,122.55907924847,142.470451303504
"da Vinci","SM",67,133.047246612065,123.406281770636,143.368850164176
"da Vinci","SM",68,134.002034316178,124.318998267318,144.433801937036
"da Vinci","SM",69,135.019178413463,125.332987405841,145.526747674774
"da Vinci","SM",70,136.095250841692,126.313708895656,146.552771644518
"da Vinci","SM",71,137.226542728801,127.375637706474,147.691826944865
"da Vinci","SM",72,138.409056931324,128.62079569045,148.814882698875
"da Vinci","SM",73,139.638502360022,129.991426244682,149.923400031646
"da Vinci","SM",74,140.910290482338,131.328979496502,151.071144729691
"da Vinci","SM",75,142.219534397433,132.725213522095,152.248250924203
"da Vinci","SM",76,143.561050878445,134.072070878987,153.606364875858
"da Vinci","SM",77,144.929365767134,135.319655311651,155.040214655485
"da Vinci","SM",78,146.31872308721,136.630377118451,156.439105615616
"da Vinci","SM",79,147.723098213368,137.988636622297,157.803877469519
"da Vinci","SM",80,149.136215392676,139.371526605293,159.288476174297
"da Vinci","SM",81,150.551569862843,140.898111600687,160.740639932901
